SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
1296,HNRNPK,U2AF2,0.667,0.626,0.611,0.947,Multiple Sclerosis,744288,3190,11338,109431,116466,Co-fractionation,22939629,Havugimana PC (2012)
1297,MDH2,SUCLG1,0.665,0.144,0.716,0.947,Friedreich ataxia,2853409,4191,8802,110356,114330,Proximity Label-MS,32877691,Antonicka H (2020)
1298,U2AF2,TRA2B,0.64,0.654,0.611,0.947,Multiple Sclerosis,1525784,11338,6434,116466,112332,Affinity Capture-Western,26641092,Whisenant TC (2015)
1299,HNRNPR,HNRNPU,0.562,0.305,0.744,0.947,Multiple Sclerosis,3039653,10236,3192,115530,109433,Affinity Capture-MS,33961781,Huttlin EL (2021)
1300,FUS,HNRNPM,0.429,0.592,0.666,0.947,Multiple Sclerosis,2644162,2521,4670,108797,110751,Affinity Capture-MS,29884807,Chi B (2018)
1301,DLD,SUCLG1,0.388,0.188,0.574,0.947,Friedreich ataxia,2628539,1738,8802,108082,114330,Co-fractionation,31536960,Moutaoufik MT (2019)
1302,HNRNPDL,HNRNPM,0.291,0.287,0.905,0.947,Multiple Sclerosis,745490,9987,4670,115308,110751,Co-fractionation,22939629,Havugimana PC (2012)
1303,HSPA8,HSPA9,0.26,0.644,0.634,0.947,Parkinson's,2464771,3312,3313,109544,109545,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1304,HP,CP,0.166,0.238,0.923,0.947,Alzheimers,2951832,3240,1356,109480,107748,Affinity Capture-MS,24981860,Marcon E (2014)
1305,NDUFAF3,NDUFS4,0.075,0.221,0.602,0.947,Alzheimers,749916,25915,4724,117419,110803,Co-fractionation,22939629,Havugimana PC (2012)
1306,SNCA,HSPA5,0.059,0.135,0.433,0.947,Multiple Sclerosis,2781588,6622,3309,112506,109541,Affinity Capture-MS,31980649,Kennedy SA (2020)
1307,PINK1,DNM1L,0.058,0.497,0.898,0.947,Parkinson's,1417212,65018,10059,122376,115370,FRET,25591737,Bertolin G (2015)
1308,HNRNPH1,SYNCRIP,0.668,0.55,0.685,0.948,Multiple Sclerosis,424658,3187,10492,109428,115755,Affinity Capture-MS,17643375,Jeronimo C (2007)
1309,CS,SUCLG2,0.592,0.58,0.494,0.948,Friedreich ataxia,2626460,1431,8801,107818,114329,Co-fractionation,31536960,Moutaoufik MT (2019)
1310,HNRNPC,KHDRBS1,0.527,0.63,0.727,0.948,Multiple Sclerosis,746291,3183,10657,109424,115900,Co-fractionation,22939629,Havugimana PC (2012)
1311,HNRNPDL,HNRNPL,0.252,0.602,0.842,0.948,Multiple Sclerosis,747158,9987,3191,115308,109432,Co-fractionation,22939629,Havugimana PC (2012)
1312,CSTB,CTSB,0.184,0.626,0.845,0.948,Alzheimers,283451,1476,1508,107858,107888,Reconstituted Complex,11514663,Pol E (2001)
1313,G3BP1,ATXN2,0.105,0.672,0.837,0.948,Multiple Sclerosis,2379958,10146,6311,115448,112218,Affinity Capture-MS,26777405,Jain S (2016)
1314,YWHAE,YWHAH,0.068,0.829,0.415,0.948,Parkinson's,464643,7531,7533,113363,113365,Two-hybrid,20936779,Bandyopadhyay S (2010)
1315,TRAF6,FYN,0.057,0.328,0.281,0.948,Alzheimers,657747,7189,2534,113041,108810,Reconstituted Complex,22447928,Liu A (2012)
1316,OPTN,FUS,0.042,0.192,0.939,0.948,Multiple Sclerosis,2766170,10133,2521,115436,108797,Proximity Label-MS,31723608,Heo JM (2019)
1317,HSPA8,MAPT,0,0.872,0.615,0.948,Parkinson's,2244286,3312,4137,109544,110308,Affinity Capture-MS,28514442,Huttlin EL (2017)
1318,VAPB,PITPNM1,0,0.794,0.757,0.948,Multiple Sclerosis,948240,9217,9600,114650,114965,Affinity Capture-MS,24885147,Baron Y (2014)
1319,YWHAZ,WWTR1,0,0.451,0.135,0.948,Parkinson's,464849,7534,25937,113366,117434,Two-hybrid,20936779,Bandyopadhyay S (2010)
1320,HNRNPK,TARDBP,0.775,0.278,0.713,0.949,Multiple Sclerosis,745812,3190,23435,109431,117003,Co-fractionation,22939629,Havugimana PC (2012)
1321,HNRNPA1,HNRNPA3,0.652,0.491,0.572,0.949,Multiple Sclerosis,1241478,3178,220988,109420,128670,Affinity Capture-MS,25324306,Roy R (2014)
1322,LSM4,SNRNP70,0.257,0.898,0.378,0.949,Multiple Sclerosis,2814790,25804,6625,117336,112509,Proximity Label-MS,29395067,Youn JY (2018)
1323,STAT5A,STAT5B,0.252,0.312,0.127,0.949,Amyotrophic Lateral Sclerosis (ALS),2217051,6776,6777,112653,112654,Affinity Capture-MS,28514442,Huttlin EL (2017)
1324,BOLA1,CIAPIN1,0.047,0.853,0.665,0.949,Friedreich ataxia,3166055,51027,57019,119233,121328,Affinity Capture-MS,33961781,Huttlin EL (2021)
1325,MATR3,RBM14,0,0.588,0.883,0.949,Multiple Sclerosis,1450531,9782,10432,115126,115700,Affinity Capture-MS,26496610,Hein MY (2015)
1326,PINK1,PARL,0,0.329,0.927,0.949,Parkinson's,685104,65018,55486,122376,120678,Affinity Capture-Western,21355049,Shi G (2011)
1327,HNRNPL,HNRNPF,0.666,0.292,0.694,0.95,Multiple Sclerosis,2397647,3191,3185,109432,109426,Affinity Capture-RNA,28611215,Fei T (2017)
1328,FUS,HNRNPU,0.462,0.626,0.641,0.95,Multiple Sclerosis,921972,2521,3192,108797,109433,Co-fractionation,22863883,Kristensen AR (2012)
1329,HNRNPDL,HNRNPH1,0.342,0.646,0.804,0.95,Multiple Sclerosis,745338,9987,3187,115308,109428,Co-fractionation,22939629,Havugimana PC (2012)
1330,OGDH,PDHA1,0.128,0.732,0.685,0.95,Friedreich ataxia,746194,4967,5160,111017,111186,Co-fractionation,22939629,Havugimana PC (2012)
1331,HNRNPA1,MATR3,0.125,0.62,0.862,0.95,Multiple Sclerosis,1241541,3178,9782,109420,115126,Affinity Capture-MS,25324306,Roy R (2014)
1332,UBC,PSMA1,0.109,0.885,0.142,0.95,Multiple Sclerosis,561192,7316,5682,113164,111655,Affinity Capture-MS,16196087,Matsumoto M (2005)
1333,OPTN,NBR1,0.085,0.07,0.947,0.95,Multiple Sclerosis,3307531,10133,4077,115436,110253,Proximity Label-MS,33545068,Zellner S (2021)
1334,SQSTM1,RAB8A,0.049,0.313,0.335,0.95,Parkinson's,3306798,8878,4218,114397,110382,Proximity Label-MS,33545068,Zellner S (2021)
1335,WWTR1,YWHAQ,0.047,0.496,0.086,0.95,Parkinson's,727621,25937,10971,117434,116168,Affinity Capture-Western,21555462,Habbig S (2011)
1336,SQSTM1,TARDBP,0.042,0.469,0.91,0.95,Parkinson's,669832,8878,23435,114397,117003,Affinity Capture-Western,22674379,Tanji K (2012)
1337,PSEN1,MAPT,0,0.287,0.933,0.95,Alzheimers,302993,5663,4137,111642,110308,Co-fractionation,9689133,Takashima A (1998)
1338,U2AF2,PTBP1,0.717,0.179,0.807,0.951,Multiple Sclerosis,1525984,11338,5725,116466,111697,Affinity Capture-MS,26641092,Whisenant TC (2015)
1339,HNRNPU,SRSF1,0.71,0.211,0.686,0.951,Multiple Sclerosis,743188,3192,6426,109433,112324,Co-fractionation,22939629,Havugimana PC (2012)
1340,CS,DLST,0.705,0.212,0.524,0.951,Friedreich ataxia,2849894,1431,1743,107818,108087,Proximity Label-MS,32877691,Antonicka H (2020)
1341,SRSF7,HNRNPC,0.673,0.255,0.708,0.951,Multiple Sclerosis,3154429,6432,3183,112330,109424,Affinity Capture-MS,33961781,Huttlin EL (2021)
1342,EWSR1,HNRNPA1,0.47,0.615,0.782,0.951,Multiple Sclerosis,2644312,2130,3178,108431,109420,Affinity Capture-MS,29884807,Chi B (2018)
1343,PMPCA,UQCRC1,0.298,0.877,0.397,0.951,Friedreich ataxia,1274114,23203,7384,116811,113230,Co-fractionation,26344197,Wan C (2015)
1344,CALCOCO2,NBR1,0.224,0.07,0.938,0.951,Multiple Sclerosis,3306618,10241,4077,115535,110253,Proximity Label-MS,33545068,Zellner S (2021)
1345,UBC,PSMA5,0.108,0.88,0.194,0.951,Multiple Sclerosis,561194,7316,5686,113164,111659,Affinity Capture-MS,16196087,Matsumoto M (2005)
1346,SNX9,SYNJ1,0.078,0.755,0.8,0.951,Parkinson's,2218091,51429,8867,119535,114388,Affinity Capture-MS,28514442,Huttlin EL (2017)
1347,SORL1,GGA2,0.049,0.904,0.503,0.951,Alzheimers,316417,6653,23062,112536,116697,Two-hybrid,11821067,Jacobsen L (2002)
1348,FOXO3,YWHAH,0.043,0.425,0.221,0.951,Parkinson's,446130,2309,7533,108598,113365,Affinity Capture-MS,20562859,Behrends C (2010)
1349,CTNNBIP1,APC,0,0.796,0.215,0.951,Alzheimers,2235489,56998,324,121313,106821,Affinity Capture-MS,28514442,Huttlin EL (2017)
1350,SMN2,SNRPD3,0,0.092,0.504,0.951,Multiple Sclerosis,316894,6607,6634,112491,112518,Reconstituted Complex,10556282,Buehler D (1999)
1351,HNRNPL,SRSF3,0.668,0.363,0.662,0.952,Multiple Sclerosis,2397824,3191,6428,109432,112326,Affinity Capture-RNA,28611215,Fei T (2017)
1352,HSPB1,HSP90AB1,0.351,0,0.929,0.952,Parkinson's,1255577,3315,3326,109547,109558,Two-hybrid,25277244,Katsogiannou M (2014)
1353,HSPA9,DNAJB1,0.27,0.263,0.75,0.952,Friedreich ataxia,1261075,3313,3337,109545,109569,Co-fractionation,26344197,Wan C (2015)
1354,MAPK1,MAPT,0.055,0.314,0.348,0.952,Alzheimers,2618124,5594,4137,111580,110308,Biochemical Activity,9614189,Illenberger S (1998)
1355,TSC2,YWHAZ,0.049,0.841,0.448,0.952,Parkinson's,274609,7249,7534,113100,113366,Two-hybrid,12176984,Nellist M (2002)
1356,FUS,UBQLN2,0.049,0.303,0.934,0.952,Multiple Sclerosis,2609002,2521,29978,108797,119006,Reconstituted Complex,30442662,Alexander EJ (2018)
1357,IL6ST,TYK2,0,0.292,0.823,0.952,Amyotrophic Lateral Sclerosis (ALS),303374,3572,7297,109786,113148,Affinity Capture-Western,9388212,Kim H (1997)
1358,HNRNPA2B1,TRA2B,0.778,0,0.448,0.953,Multiple Sclerosis,3440008,3181,6434,109422,112332,Co-fractionation,35831314,Havugimana PC (2022)
1359,HNRNPA1,TRA2B,0.714,0.511,0.417,0.953,Multiple Sclerosis,827722,3178,6434,109420,112332,Two-hybrid,22365833,Hegele A (2012)
1360,ACLY,SDHB,0.63,0.245,0.508,0.953,Friedreich ataxia,1271732,47,6390,106563,112291,Co-fractionation,26344197,Wan C (2015)
1361,DHX9,ALYREF,0.629,0.284,0.227,0.953,Multiple Sclerosis,1258526,1660,10189,108025,115486,Co-fractionation,26344197,Wan C (2015)
1362,HNRNPC,RALY,0.517,0.847,0.415,0.953,Multiple Sclerosis,745549,3183,22913,109424,116575,Co-fractionation,22939629,Havugimana PC (2012)
1363,EWSR1,FUS,0.358,0.676,0.796,0.953,Multiple Sclerosis,892668,2130,2521,108431,108797,Two-hybrid,21988832,Wang J (2011)
1364,YWHAB,YWHAG,0.196,0.805,0.47,0.953,Parkinson's,914152,7529,7532,113361,113364,Affinity Capture-MS,24255178,Couzens AL (2013)
1365,NDUFAF4,NDUFAF5,0.169,0.141,0.885,0.953,Alzheimers,3131992,29078,79133,118848,122554,Affinity Capture-MS,33961781,Huttlin EL (2021)
1366,ALB,APOE,0.129,0.071,0.947,0.953,Alzheimers,825636,213,348,106715,106845,Affinity Capture-MS,15174051,Zhou M (2004)
1367,HSPA4,PARK7,0.091,0.552,0.892,0.953,Alzheimers,471165,3308,11315,109540,116446,Affinity Capture-Western,15525661,Moore DJ (2005)
1368,HNRNPC,U2AF2,0.656,0.409,0.792,0.954,Multiple Sclerosis,744275,3183,11338,109424,116466,Co-fractionation,22939629,Havugimana PC (2012)
1369,HNRNPC,SYNCRIP,0.634,0.49,0.776,0.954,Multiple Sclerosis,3123109,3183,10492,109424,115755,Affinity Capture-MS,33961781,Huttlin EL (2021)
1370,HNRNPA2B1,SRSF2,0.447,0.294,0.671,0.954,Multiple Sclerosis,744277,3181,6427,109422,112325,Co-fractionation,22939629,Havugimana PC (2012)
1371,HNRNPK,PABPC1,0.306,0.778,0.726,0.954,Multiple Sclerosis,573922,3190,26986,109431,117939,Affinity Capture-Western,15303970,Brendel C (2004)
1372,C3,SERPING1,0.245,0.329,0.916,0.954,Alzheimers,2952065,718,710,107179,107171,Affinity Capture-MS,24981860,Marcon E (2014)
1373,CTSL,CSTB,0.128,0.576,0.886,0.954,Alzheimers,3077461,1514,1476,107894,107858,Affinity Capture-MS,33961781,Huttlin EL (2021)
1374,OPTN,TARDBP,0.055,0.076,0.952,0.954,Parkinson's,3307464,10133,23435,115436,117003,Proximity Label-MS,33545068,Zellner S (2021)
1375,YWHAG,FOXO3,0.049,0.45,0.229,0.954,Parkinson's,3108437,7532,2309,113364,108598,Affinity Capture-MS,33961781,Huttlin EL (2021)
1376,GGA1,SORT1,0,0.839,0.728,0.954,Alzheimers,676277,26088,6272,117540,112180,Two-hybrid,11859376,Shiba T (2002)
1377,HNRNPH1,RBMX,0.697,0.277,0.697,0.955,Multiple Sclerosis,743113,3187,27316,109428,118134,Co-fractionation,22939629,Havugimana PC (2012)
1378,ELAVL1,HNRNPK,0.663,0.69,0.604,0.955,Multiple Sclerosis,827679,1994,3190,108309,109431,Two-hybrid,22365833,Hegele A (2012)
1379,HSPA9,HSPA4,0.542,0.215,0.747,0.955,Parkinson's,1263334,3313,3308,109545,109540,Co-fractionation,26344197,Wan C (2015)
1380,GLRX3,BOLA3,0.156,0.664,0.673,0.955,Friedreich ataxia,2712219,10539,388962,115793,132922,Two-hybrid,32296183,Luck K (2020)
1381,BIN1,CLU,0.042,0.292,0.875,0.955,Alzheimers,2632632,274,1191,106771,107603,Affinity Capture-Western,25051234,Zhou Y (2014)
1382,HSPB1,TP53,0,0.776,0.809,0.955,Parkinson's,271157,3315,7157,109547,113010,Two-hybrid,16169070,Stelzl U (2005)
1383,CTNNA3,CTNNA1,0,0.292,0.412,0.955,Parkinson's,864148,29119,1495,118885,107876,Affinity Capture-Western,23718855,Waaijers S (2013)
1384,CYLD,SPATA2L,0,0.209,0.482,0.955,Multiple Sclerosis,424381,1540,124044,107920,125846,Affinity Capture-MS,19615732,Sowa ME (2009)
1385,HNRNPM,SRSF3,0.782,0.322,0.569,0.956,Multiple Sclerosis,744281,4670,6428,110751,112326,Co-fractionation,22939629,Havugimana PC (2012)
1386,HNRNPR,SYNCRIP,0.768,0.703,0.406,0.956,Multiple Sclerosis,3431667,10236,10492,115530,115755,Co-fractionation,35831314,Havugimana PC (2022)
1387,HNRNPM,SRSF1,0.749,0.205,0.676,0.956,Multiple Sclerosis,744149,4670,6426,110751,112324,Co-fractionation,22939629,Havugimana PC (2012)
1388,MRPL23,NDUFAB1,0.434,0.925,0,0.956,Friedreich ataxia,893974,6150,4706,112070,110786,Two-hybrid,21988832,Wang J (2011)
1389,DHX9,KHDRBS1,0.43,0.785,0.67,0.956,Multiple Sclerosis,297248,1660,10657,108025,115900,Affinity Capture-Western,10951562,Reddy TR (2000)
1390,FUS,NONO,0.292,0.472,0.892,0.956,Multiple Sclerosis,745952,2521,4841,108797,110904,Co-fractionation,22939629,Havugimana PC (2012)
1391,YAP1,WWTR1,0.187,0.464,0.121,0.956,Parkinson's,2833747,10413,25937,115684,117434,Synthetic Growth Defect,32990596,Chai AWY (2020)
1392,UBE4B,UBQLN1,0.111,0.655,0.868,0.956,Multiple Sclerosis,749771,10277,29979,115566,119007,Co-fractionation,22939629,Havugimana PC (2012)
1393,RHOT1,PINK1,0.06,0.537,0.907,0.956,Parkinson's,725483,55288,65018,120576,122376,Affinity Capture-Western,22396657,Liu S (2012)
1394,LCAT,APOE,0.042,0.292,0.8,0.956,Alzheimers,872762,3931,348,110123,106845,Biochemical Activity,15654758,Zhao Y (2005)
1395,PSEN1,APOE,0,0,0.956,0.956,Alzheimers,740223,5663,348,111642,106845,Two-hybrid,21163940,Soler-Lopez M (2011)
1396,DLD,FH,0.787,0.184,0.625,0.957,Friedreich ataxia,1262185,1738,2271,108082,108562,Co-fractionation,26344197,Wan C (2015)
1397,HNRNPA0,HNRNPK,0.77,0.649,0.511,0.957,Multiple Sclerosis,827716,10949,3190,116149,109431,Two-hybrid,22365833,Hegele A (2012)
1398,HNRNPA1,ALYREF,0.693,0.374,0.686,0.957,Multiple Sclerosis,669397,3178,10189,109420,115486,Affinity Capture-MS,22446626,Close P (2012)
1399,PMPCB,NDUFV2,0.659,0.833,0.161,0.957,Friedreich ataxia,2857659,9512,4729,114889,110807,Proximity Label-MS,32877691,Antonicka H (2020)
1400,OGDH,SUCLG2,0.618,0.226,0.528,0.957,Friedreich ataxia,1272868,4967,8801,111017,114329,Co-fractionation,26344197,Wan C (2015)
1401,HSP90AA1,HSPB1,0.274,0.292,0.924,0.957,Parkinson's,2650590,3320,3315,109552,109547,Affinity Capture-Western,27187154,Booth L (2016)
1402,UCHL1,SNCA,0.089,0.292,0.94,0.957,Parkinson's,3012823,7345,6622,113192,112506,Affinity Capture-MS,33028204,Nawaz MS (2020)
1403,HSPA4,MAPT,0,0.839,0.745,0.957,Alzheimers,815209,3308,4137,109540,110308,Affinity Capture-Western,23271055,Jinwal UK (2012)
1404,HSP90AA1,PINK1,0,0.79,0.806,0.957,Alzheimers,828888,3320,65018,109552,122376,Affinity Capture-Luminescence,22939624,Taipale M (2012)
1405,MRPS2,RPS9,0.614,0.861,0.246,0.958,Friedreich ataxia,3096534,51116,6203,119304,112117,Affinity Capture-MS,33961781,Huttlin EL (2021)
1406,ALYREF,SRSF7,0.547,0.616,0.579,0.958,Multiple Sclerosis,718041,10189,6432,115486,112330,Affinity Capture-MS,15998806,Masuda S (2005)
1407,HSP90AA1,HSPA9,0.457,0.587,0.829,0.958,Parkinson's,818876,3320,3313,109552,109545,Affinity Capture-MS,19875381,Gano JJ (2010)
1408,CTSB,CTSS,0.206,0.109,0.431,0.958,Alzheimers,3207002,1508,1520,107888,107900,Affinity Capture-MS,34709727,Liu X (2021)
1409,IL2RG,JAK2,0.123,0.292,0.703,0.958,Amyotrophic Lateral Sclerosis (ALS),817759,3561,3717,109776,109920,Affinity Capture-Western,8041779,Tanaka N (1994)
1410,UBC,PSMD12,0.065,0.894,0.263,0.958,Multiple Sclerosis,561168,7316,5718,113164,111690,Affinity Capture-MS,16196087,Matsumoto M (2005)
1411,RNF31,TRAF2,0.057,0.362,0.394,0.958,Multiple Sclerosis,937529,55072,7186,120389,113038,Affinity Capture-MS,24726327,Schaeffer V (2014)
1412,UBB,HDAC6,0.055,0.923,0.143,0.958,Multiple Sclerosis,3374456,7314,10013,113162,115330,Affinity Capture-MS,35271311,Cho NH (2022)
1413,GSK3B,HSP90AA1,0.054,0.639,0.887,0.958,Alzheimers,685634,2932,3320,109187,109552,Biochemical Activity,22824801,Muller P (2012)
1414,ATXN3,UBB,0.049,0.914,0.245,0.958,Multiple Sclerosis,2396983,4287,7314,110433,113162,Affinity Capture-MS,29111377,Kristensen LV (2018)
1415,BECN1,SQSTM1,0.048,0.51,0.919,0.958,Parkinson's,2596689,8678,8878,114226,114397,Affinity Capture-Western,29669822,Song X (2018)
1416,LRP8,VLDLR,0.042,0.322,0.94,0.958,Alzheimers,2757054,7804,7436,113579,113277,Affinity Capture-Western,30873003,Dlugosz P (2019)
1417,MAPT,YWHAQ,0,0.588,0.903,0.958,Alzheimers,1022582,4137,10971,110308,116168,Affinity Capture-Western,15650334,Chun J (2004)
1418,HNRNPK,SYNCRIP,0.767,0.647,0.546,0.959,Multiple Sclerosis,744724,3190,10492,109431,115755,Co-fractionation,22939629,Havugimana PC (2012)
1419,ALYREF,U2AF2,0.643,0.645,0.442,0.959,Multiple Sclerosis,718039,10189,11338,115486,116466,Affinity Capture-MS,15998806,Masuda S (2005)
1420,HNRNPDL,PTBP1,0.22,0.33,0.928,0.959,Multiple Sclerosis,745726,9987,5725,115308,111697,Co-fractionation,22939629,Havugimana PC (2012)
1421,SNRNP200,SNRNP70,0.186,0.879,0.624,0.959,Multiple Sclerosis,3433390,23020,6625,116661,112509,Co-fractionation,35831314,Havugimana PC (2022)
1422,NDUFA7,NDUFAF2,0.105,0.478,0.521,0.959,Alzheimers,3065485,4701,91942,110781,124893,Affinity Capture-MS,33961781,Huttlin EL (2021)
1423,UBC,PSMD11,0.085,0.894,0.266,0.959,Multiple Sclerosis,561191,7316,5717,113164,111689,Affinity Capture-MS,16196087,Matsumoto M (2005)
1424,TBK1,SMCR8,0.057,0.292,0.462,0.959,Multiple Sclerosis,2486013,29110,140775,118878,126704,Biochemical Activity,27103069,Sellier C (2016)
1425,IREB2,TFRC,0.055,0.545,0.913,0.959,Friedreich ataxia,2933670,3658,7037,109866,112895,Affinity Capture-RNA,31907996,Zhang J (2020)
1426,HSP90AA1,MAPT,0,0.827,0.772,0.959,Alzheimers,2638357,3320,4137,109552,110308,Protein-peptide,27495389,Schirmer C (2016)
1427,RBMX,HNRNPA2B1,0.772,0.214,0.598,0.96,Multiple Sclerosis,3367210,27316,3181,118134,109422,Affinity Capture-MS,35271311,Cho NH (2022)
1428,HNRNPA1,ILF3,0.77,0.545,0.654,0.96,Multiple Sclerosis,424648,3178,3609,109420,109822,Affinity Capture-MS,17643375,Jeronimo C (2007)
1429,HNRNPH1,HNRNPH3,0.652,0.817,0.41,0.96,Multiple Sclerosis,746262,3187,3189,109428,109430,Co-fractionation,22939629,Havugimana PC (2012)
1430,KHDRBS1,U2AF2,0.639,0.591,0.752,0.96,Multiple Sclerosis,828548,10657,11338,115900,116466,Two-hybrid,22365833,Hegele A (2012)
1431,CS,SUCLA2,0.595,0.578,0.608,0.96,Friedreich ataxia,2850068,1431,8803,107818,114331,Proximity Label-MS,32877691,Antonicka H (2020)
1432,DDX5,HNRNPH1,0.241,0.778,0.785,0.96,Multiple Sclerosis,828184,1655,3187,108021,109428,Two-hybrid,22365833,Hegele A (2012)
1433,NDUFS3,NDUFAF5,0.16,0.238,0.891,0.96,Alzheimers,1178975,4722,79133,110801,122554,Affinity Capture-MS,26186194,Huttlin EL (2015)
1434,MRPL43,RPS18,0.131,0.956,0,0.96,Friedreich ataxia,750505,84545,6222,124130,112136,Co-fractionation,22939629,Havugimana PC (2012)
1435,OPTN,UBB,0.092,0.952,0.151,0.96,Multiple Sclerosis,2766134,10133,7314,115436,113162,Proximity Label-MS,31723608,Heo JM (2019)
1436,AZI2,CALCOCO2,0.074,0.888,0.643,0.96,Multiple Sclerosis,594102,64343,10241,122142,115535,Affinity Capture-MS,21903422,Li S (2011)
1437,BAG5,HSPA4,0.072,0.669,0.81,0.96,Parkinson's,608544,9529,3308,114905,109540,Reconstituted Complex,21358815,Kalia LV (2011)
1438,HDAC6,RPS27A,0.042,0.929,0.134,0.96,Multiple Sclerosis,3413881,10013,6233,115330,112147,Affinity Capture-MS,35676659,Xu X (2022)
1439,PCBP1,HNRNPA2B1,0.684,0.195,0.779,0.961,Multiple Sclerosis,2464851,5093,3181,111126,109422,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1440,HNRNPL,HNRNPR,0.674,0.409,0.702,0.961,Multiple Sclerosis,744404,3191,10236,109432,115530,Co-fractionation,22939629,Havugimana PC (2012)
1441,MRPL2,RPS9,0.663,0.85,0.24,0.961,Friedreich ataxia,3127811,51069,6203,119260,112117,Affinity Capture-MS,33961781,Huttlin EL (2021)
1442,CUL7,MRPS15,0.591,0.882,0.265,0.961,Friedreich ataxia,2747518,9820,64960,115159,122358,Affinity Capture-MS,31343991,Wang P (2019)
1443,PCBP1,HNRNPC,0.539,0.195,0.847,0.961,Multiple Sclerosis,2471502,5093,3183,111126,109424,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1444,SERPINA1,HP,0.419,0.244,0.919,0.961,Alzheimers,2945550,5265,3240,111283,109480,Affinity Capture-MS,24981860,Marcon E (2014)
1445,RNF31,UBB,0.055,0.908,0.216,0.961,Multiple Sclerosis,3152893,55072,7314,120389,113162,Affinity Capture-MS,33961781,Huttlin EL (2021)
1446,IDH2,IDH1,0.048,0.608,0.068,0.961,Friedreich ataxia,1263553,3418,3417,109644,109643,Co-fractionation,26344197,Wan C (2015)
1447,SPG11,AP5S1,0,0.232,0.952,0.961,Multiple Sclerosis,3102771,80208,55317,123177,120599,Affinity Capture-MS,33961781,Huttlin EL (2021)
1448,HNRNPK,SRSF3,0.784,0.181,0.69,0.962,Multiple Sclerosis,3446768,3190,6428,109431,112326,Co-fractionation,35831314,Havugimana PC (2022)
1449,HNRNPK,HNRNPR,0.774,0.22,0.687,0.962,Multiple Sclerosis,743082,3190,10236,109431,115530,Co-fractionation,22939629,Havugimana PC (2012)
1450,SNRPD3,SRSF1,0.649,0.859,0.305,0.962,Multiple Sclerosis,3447202,6634,6426,112518,112324,Co-fractionation,35831314,Havugimana PC (2022)
1451,ALB,APOA2,0.617,0.099,0.901,0.962,Alzheimers,825592,213,336,106715,106833,Affinity Capture-MS,15174051,Zhou M (2004)
1452,HNRNPA1,HNRNPH2,0.135,0.636,0.824,0.962,Multiple Sclerosis,669356,3178,3188,109420,109429,Affinity Capture-MS,22446626,Close P (2012)
1453,OPTN,TAX1BP1,0.128,0.313,0.942,0.962,Multiple Sclerosis,570496,10133,8887,115436,114405,Affinity Capture-Western,19609363,Journo C (2009)
1454,NFKB1,STAT3,0.126,0.598,0.902,0.962,Amyotrophic Lateral Sclerosis (ALS),1504884,4790,6774,110857,112651,Co-localization,25241761,Chen TC (2014)
1455,MRPL30,MRPL2,0.116,0.938,0.358,0.962,Friedreich ataxia,3144046,51263,51069,119417,119260,Affinity Capture-MS,33961781,Huttlin EL (2021)
1456,UBB,UBQLN1,0.085,0.942,0.337,0.962,Multiple Sclerosis,1043125,7314,29979,113162,119007,Two-hybrid,25416956,Rolland T (2014)
1457,TOMM40,VDAC1,0.063,0.428,0.749,0.962,Alzheimers,2627569,10452,7416,115716,113259,Co-fractionation,31536960,Moutaoufik MT (2019)
1458,TSC2,YWHAB,0.054,0.854,0.525,0.962,Parkinson's,459006,7249,7529,113100,113361,Affinity Capture-Western,12582162,Li Y (2003)
1459,TLR2,IRAK1,0.054,0.335,0.945,0.962,Amyotrophic Lateral Sclerosis (ALS),300872,7097,3654,112952,109863,Affinity Capture-Western,10395652,Yang RB (1999)
1460,HDAC4,HSP90AB1,0.046,0.175,0.956,0.962,Parkinson's,2472650,9759,3326,115106,109558,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1461,APOA2,PLTP,0,0.292,0.825,0.962,Alzheimers,278771,336,5360,106833,111374,Co-purification,9469594,Pussinen PJ (1998)
1462,TARDBP,PTBP1,0.72,0.189,0.853,0.963,Multiple Sclerosis,913246,23435,5725,117003,111697,Affinity Capture-MS,20020773,Freibaum BD (2010)
1463,PMPCB,NDUFS1,0.693,0.841,0.164,0.963,Friedreich ataxia,2857651,9512,4719,114889,110799,Proximity Label-MS,32877691,Antonicka H (2020)
1464,EIF4A3,SNRPD3,0.471,0.921,0.191,0.963,Multiple Sclerosis,811579,9775,6634,115119,112518,Affinity Capture-MS,23084401,Singh G (2012)
1465,GRPEL1,DNAJB1,0.368,0.498,0.892,0.963,Friedreich ataxia,1261072,80273,3337,123210,109569,Co-fractionation,26344197,Wan C (2015)
1466,APP,MAPK8IP1,0.148,0.797,0.804,0.963,Alzheimers,684807,351,9479,106848,114864,Two-hybrid,20205790,Kajiwara Y (2010)
